Species,Cohort,MATRR ID,Date of BC,Timepoint,State,TP:,ALB:,ALKP:,ALT:,AST:,GGT:,TBIL:,GLU:,BUN:,CREA:,K:,NA:,CL:,Ca:,PHOS:,Fe:,CHOL:,LDH:,TRIG:,A/G ratio:,DBIL:,Glob:,Amyl:,MG:,WBC:,NEUT%:,BAND%:,LY%,MONO%:,EOS%:,BASO%:,HCT:,HGB:,RBC:,MCV:,MCH:,MCHC:,PLT:,,
cyno,2,10023,4/18/2007,open access 2,sedated,6.7,3.8,74,24,46,50,0.3,49,12,1,4.3,146,103,9.4,4.4,129,110,1000,302,1.3,0.1,2.9,,,6.8,40.7,0,51.7,5,2.1,0.5,41.5,13.4,5.26,79,25.5,32.3,503,,
cyno,2,10023,10/31/2007,before withdrawl 1,sedated,6.5,4.2,53,28,41,51,0.3,65,14,1.2,4.3,147,105,9.5,3.5,146,89,789,173,1.8,0,2.3,,,8.4,55.9,0,37,4.8,1.7,0.6,41.7,13.5,5.23,80,25.8,32.4,550,,
cyno,2,10023,4/24/2008,withdrawl 2,sedated,7.4,4,110,26,45,48,1.2,51,11.2,1.1,5,146,104,9.6,4.5,288,99,1000,330,1.2,0.2,3.4,,,5,35,0,55.9,5.6,2.8,0.7,43.1,13.7,5.49,79,25,31.8,363,,
cyno,2,10023,11/21/2008,before withdrawl 3,sedated,7.1,4.3,63,25,45,50,0.4,61,13.4,1.1,4.4,149,109,9.7,3.7,148,104,1000,308,1.5,0.1,2.8,,,7.5,52.2,0,40.4,4.7,1.8,0.9,41.3,13.9,5.32,78,26.1,33.7,530,,
cyno,2,10024,8/17/2005,pre-induction,sedated,7.4,,,,,,,,,,,,,,,,,,,,,,,,14,63.8,0,30.3,3.3,2.1,0.5,35.4,11.5,4.97,71,23.1,32.5,304,,
cyno,2,10024,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,7.8,40.1,0,52.4,3.9,2.7,0.9,37.3,12,5.03,74,23.9,32.2,81,,
cyno,2,10024,3/27/2006,H2O induction,sedated,6.9,4.2,66,30,56,49,0.2,63,22,1.1,4,150,112,9.7,2.5,256,88,431,27,1.6,0,2.7,,,13.3,46.4,0,46.2,3.9,2.6,0.9,35.6,11.5,4.84,74,23.8,32.3,267,,
cyno,2,10024,10/26/2006,open access 1,sedated,7.3,4.2,69,36,38,56,0.3,53,19,0.7,4,154,112,9.7,5.3,190,125,444,149,1.4,0,3.1,,,6.3,30.8,0,61.4,2.8,4.3,0.7,36,11.6,4.91,73,23.6,32.2,698,,
cyno,2,10024,9/21/2007,before withdrawl 1,sedated,,,,,,,,,,,,,,,,,,,,,,,,,8.9,24.6,0,68.2,3.8,2.5,0.9,37.8,12.4,5.1,74,24.3,32.8,100,,
cyno,2,10024,4/24/2008,withdrawl 2,sedated,7.2,3.9,73,48,41,54,0.5,63,9.7,0.8,3.9,153,110,9.3,3.4,191,121,232,240,1.2,0.1,3.3,,,6.7,44.8,0,49.5,2.9,2.3,0.5,39.7,12.7,5.27,75,24.1,32,333,,
cyno,2,10024,11/21/2008,before withdrawl 3,sedated,7.1,4.2,76,45,55,54,0.3,55,14.8,0.9,4.3,153,112,10.1,5.7,169,143,755,245,1.4,0.1,2.9,,,6.7,36.2,0,57.2,3.5,2.5,0.6,40.3,13,5.33,76,24.4,32.3,349,,
cyno,2,10025,8/17/2005,pre-induction,sedated,6.6,,,,,,,,,,,,,,,,,,,,,,,,8.5,57.6,0,35.5,3,3.2,0.7,40.3,13.2,5.5,73,24,32.8,408,,
cyno,2,10025,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,7.7,52.8,0,41.3,1.7,2.3,1.9,40.3,13,5.26,77,24.7,32.3,111,,
cyno,2,10025,3/27/2006,H2O induction,sedated,6.2,3.6,90,39,37,26,0.1,60,20,1.3,4.8,145,110,9.2,4.1,159,100,324,40,1.4,0,2.6,,,6.4,55,0,37.6,4,3,0.4,37.5,11.9,4.88,77,24.4,31.7,394,,
cyno,2,10025,10/26/2006,open access 1,sedated,6.7,3.9,108,24,33,32,0.2,59,14,1,4.6,148,109,9.2,4.9,159,146,488,64,1.4,0,2.8,,,5.1,52.5,0,39.4,3.4,4.2,0.5,38.7,12.4,5.06,76,24.5,32,452,,
cyno,2,10025,4/18/2007,open access 2,sedated,6.1,3.4,107,33,33,34,0.2,48,15,1.1,4.6,146,105,9.4,4.9,163,128,636,90,1.3,0,2.7,,,6.7,67.9,0,27.5,2.1,2,0.5,37.1,12,4.85,77,24.7,32.3,454,,
cyno,2,10026,8/17/2005,pre-induction,sedated,7,,,,,,,,,,,,,,,,,,,,,,,,9.2,34.5,0,56.7,4,4.2,0.6,36.7,12.2,4.75,77,25.7,33.2,383,,
cyno,2,10026,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,8.4,26.5,0,65.8,3.6,2.9,1.2,39.2,12.7,4.87,81,26.1,32.4,74,,
cyno,2,10026,3/27/2006,H2O induction,sedated,6.9,3.9,72,58,55,58,0.1,59,28,1.2,4.1,148,112,9.1,4.1,109,102,537,36,1.3,0,3,,,7.8,29.9,0,60.7,4.2,4.4,0.8,35.4,11.5,4.4,81,26.1,32.5,390,,
cyno,2,10026,10/26/2006,open access 1,sedated,7.9,4.1,82,35,54,61,0.4,58,22,0.9,4.3,150,106,9.5,5.1,125,155,293,164,1.1,0.1,3.8,,,7.2,47.9,0,46,3.1,2.6,0.4,37.2,12,4.58,81,26.2,32.3,562,,
cyno,2,10026,4/18/2007,open access 2,sedated,6.7,3.6,187,25,40,42,0.2,47,18,1.1,3.9,145,102,9.4,3.5,156,134,411,176,1.2,0,3.1,,,10.4,50.9,0,44.9,2.5,1.1,0.6,39.3,12.8,4.84,81,26.4,32.6,441,,
cyno,2,10026,10/31/2007,before withdrawl 1,sedated,6.3,4,73,28,38,57,0.2,55,13,1,3.9,149,108,9.2,3.6,64,132,317,43,1.7,0,2.3,,,6.2,38.1,0,55.2,3.5,2.3,0.9,38.9,12.2,4.61,84,26.5,31.4,399,,
cyno,2,10026,4/24/2008,withdrawl 2,sedated,6.8,3.8,80,25,39,55,0.2,53,17.5,0.9,4.1,148,105,8.8,4.4,125,123,387,77,1.3,0,3,,,5.9,24.9,0,69.8,2.3,2,1,38.3,12.3,4.73,81,26,32.1,316,,
cyno,2,10026,11/21/2008,before withdrawl 3,sedated,4.9,4,71,24,38,52,0.3,48,22.5,1.1,4.1,149,106,8.8,4,95,136,514,104,4.4,0.1,0.9,,,6.1,42.2,0,47.4,2.8,6.7,0.9,37.2,12.3,4.61,81,26.7,33.1,428,,
cyno,2,10027,8/17/2005,pre-induction,sedated,7.3,,,,,,,,,,,,,,,,,,,,,,,,9.8,58.5,0,36.1,3.4,1.3,0.7,44.1,14.5,6.21,71,23.3,32.9,351,,
cyno,2,10027,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,13.1,54.2,0,37.8,4.2,2.2,1.6,44.4,14.1,5.93,75,23.8,31.8,128,,
cyno,2,10027,3/27/2006,H2O induction,sedated,6.7,3.8,175,54,78,40,0.2,66,20,1,3.8,148,107,9.3,3.6,175,108,505,31,1.3,0,2.9,,,8.2,48.3,0,44.3,4.2,2.6,0.6,36.8,12,5.03,73,23.9,32.6,305,,
cyno,2,10027,10/26/2006,open access 1,sedated,6.9,3.9,122,22,35,42,0.3,54,19,1.2,4.1,151,106,9.6,3.5,135,114,191,308,1.3,0,3,,,11.2,60.5,0,32.7,4.2,1.9,0.7,43,13.7,5.74,75,23.9,31.9,697,,
cyno,2,10027,4/18/2007,open access 2,sedated,6.7,3.7,98,26,48,57,0.3,36,21,1.2,4.2,145,105,9.7,5,139,137,938,140,1.2,0.1,3,,,11.7,50.7,0,44.1,3.2,1.1,0.9,43.1,14.2,5.86,74,24.2,32.9,402,,
cyno,2,10027,10/31/2007,before withdrawl 1,sedated,6.4,4.1,123,27,46,40,0.4,70,15,1.1,3.8,146,104,9.3,2.4,123,108,308,88,1.8,0.1,2.3,,,12.7,62.3,0,31.7,3.7,1.2,1.1,45.7,14.4,5.91,77,24.4,31.5,414,,
cyno,2,10027,4/24/2008,withdrawl 2,sedated,6.5,3.7,153,26,41,43,0.3,59,14.8,0.9,3.5,146,103,9.3,3.4,150,105,327,140,1.3,0.1,2.8,,,13.4,62.1,0,32.2,3.5,1.4,0.8,43.6,13.6,5.72,76,23.8,31.2,372,,
cyno,2,10027,11/21/2008,before withdrawl 3,sedated,6.9,4.1,107,21,30,37,0.5,53,16.7,1,3.9,149,105,9.8,3.9,119,128,362,521,1.5,0.1,2.8,,,14.8,72.3,0,21.6,3.9,1.1,1.1,44.7,14.8,5.86,76,25.3,33.1,468,,
cyno,2,10160,1/17/2008,physical exam,sedated,6.6,4.2,79,130,45,88,0.8,45,24,1,4.8,149,107,9.3,3.4,138,122,424,451,1.8,0.2,2.4,,,7.5,47.9,0,44.5,5.2,1.6,0.8,48.6,15.1,7.7,63,19.6,31.1,222,,
cyno,2,10028,1/17/2008,physical exam,sedated,6.6,4,112,181,56,106,0.7,69,15,1.1,5.2,148,109,9.9,2.7,110,51,746,182,1.5,0.2,2.6,,,16.9,70.1,0,22.1,5.1,1.5,1.2,47.8,14.8,7.44,64,19.9,31,205,,
cyno,2,10029,1/17/2008,physical exam,sedated,6.4,4.2,82,28,23,66,0.3,55,22,1,4.5,150,108,9.3,3.1,133,74,202,78,1.9,0.1,2.2,,,7,42.5,0,49.8,4.3,2.5,0.9,44.4,14.3,6.35,70,22.5,32.2,241,,
cyno,2,10030,1/17/2008,physical exam,sedated,6.3,3.7,106,43,19,65,0.3,56,11.4,1.3,3.8,148,109,8.8,4.2,101,64,205,38,1.4,0.1,2.6,,,8.8,63,0,30.8,3.6,1.7,0.9,42.2,14,6.25,67,22.4,33.2,268,,
cyno,2,10161,1/17/2008,physical exam,sedated,6.3,3.8,62,77,58,99,0.5,81,19,1.2,4.8,145,105,9,3.1,173,77,408,68,1.5,0.1,2.5,,,5.9,54.7,0,39.6,2.8,2.5,0.4,42.7,12.8,6.47,66,19.8,30,218,,
cyno,2,10162,1/17/2008,physical exam,sedated,6.7,3.8,95,68,35,72,0.8,80,22,1,4.9,147,105,8.9,2.9,180,62,271,169,1.3,0.2,2.9,,,8.8,42.3,0,44.3,5.1,7.3,1,41.5,13.3,6.44,64,20.7,32,393,,
cyno,2,10163,1/17/2008,physical exam,sedated,7.4,4.6,97,47,57,89,1.2,67,18,1.5,4.9,152,108,9.4,2.4,134,78,575,161,1.6,0.2,2.8,,,12.1,58.5,0,35.4,3.4,1.9,0.8,47.3,14.5,6.79,70,21.4,30.7,373,,
cyno,2,10164,1/17/2008,physical exam,sedated,6.4,4,82,108,38,102,0.4,45,20,1.1,5.4,146,108,8.9,2.3,161,84,395,169,1.7,0.1,2.4,,,5.9,42.2,0,51.8,3.6,1.8,0.6,40.9,12.5,7.46,55,16.8,30.6,307,,
cyno,2,10165,1/17/2008,physical exam,sedated,6.5,3.6,119,89,31,71,0.4,64,23,1,4.4,151,108,8.6,3.1,137,95,174,115,1.2,0.1,2.9,,,6.8,48,0,42.6,7.3,1.2,0.9,45.7,13.6,6.74,68,20.2,29.8,166,,
cyno,2,10166,1/17/2008,physical exam,sedated,6.1,3.8,105,26,26,85,0.3,66,24,1.3,5.2,147,107,9.3,2.5,133,82,201,127,1.7,0,2.3,,,5.8,49.2,0,43.7,4.7,2,0.4,38.9,12.2,6.07,64,20.1,31.4,295,,
cyno,2,10031,1/17/2008,physical exam,sedated,7,4,84,20,30,82,0.4,56,21,1.3,5.2,148,105,9.3,2.4,145,76,306,75,1.3,0.1,3,,,10.5,38.8,0,53.7,3.5,2.9,1.1,44.8,14.3,7.19,62,19.9,31.9,224,,
cyno,3,10032,8/17/2005,baseline,sedated,7.2,,,,,,,,,,,,,,,,,,,,,,,,8.6,33.9,0,60.4,4.1,0.8,0.8,37.7,12,4.98,76,24.1,31.8,302,,
cyno,3,10032,6/9/2006,pre-induction,sedated,,,,,,,,,,,,,,,,,,,,,,, ,,12.3,28.8,0,65.3,3.8,1,1.1,39.1,12.3,5.1,77,24.1,31.5,234,,
cyno,3,10032,10/26/2006,etoh induction,sedated,5.9,3.8,116,35,29,39,0.2,58,24,0.7,3.7,147,108,9.1,3.1,152,83,355,48,1.8,0,2.1,,,6.7,29.5,0,62.5,4.1,3.2,0.7,34.9,11.1,4.61,76,24.1,31.8,287,,
